month,origin_state,record_type,destination_state,weighted_transition_count,origin_mass,transition_probability,metric_name,metric_value
2019-01,occ22_02,matrix,occ22_07,6890.5925,5572367.8029000005,0.0012365645527586966,,
2019-01,occ22_02,matrix,occ22_08,19771.6681,5572367.8029000005,0.00354816279171492,,
2019-01,occ22_02,matrix,occ22_09,11149.2911,5572367.8029000005,0.002000817514988445,,
2019-01,occ22_02,matrix,occ22_10,9220.8365,5572367.8029000005,0.0016547429793132542,,
2019-01,occ22_02,matrix,occ22_11,2822.3422,5572367.8029000005,0.0005064888571302099,,
2019-01,occ22_02,matrix,occ22_12,814.858,5572367.8029000005,0.00014623191232565936,,
2019-01,occ22_02,matrix,occ22_13,12307.4686,5572367.8029000005,0.0022086604896386923,,
2019-01,occ22_02,matrix,occ22_14,3473.313,5572367.8029000005,0.0006233100762287085,,
2019-01,occ22_02,matrix,occ22_15,11853.4128,5572367.8029000005,0.0021271770312489397,,
2019-01,occ22_02,matrix,occ22_16,25578.4381,5572367.8029000005,0.004590227889603471,,
2019-01,occ22_02,matrix,occ22_17,72775.8621,5572367.8029000005,0.013060132545831884,,
2019-01,occ22_02,matrix,occ22_19,11577.0587,5572367.8029000005,0.002077583373799376,,
2019-01,occ22_02,matrix,occ22_20,2806.7766,5572367.8029000005,0.0005036955023929474,,
2019-01,occ22_02,matrix,occ22_21,9031.1906,5572367.8029000005,0.0016207097089499262,,
2019-01,occ22_02,matrix,occ22_22,10321.444,5572367.8029000005,0.0018522546186970036,,
2019-01,occ22_02,matrix,unemployed,28098.0872,5572367.8029000005,0.005042396373293423,,
2019-01,occ22_02,summary,,,,,nilf_entry_rate,0.015843213320207376
2019-01,occ22_02,summary,,,,,occ_switch_rate,0.05922179742483199
2019-01,occ22_02,summary,,,,,retention_rate,0.9198925928816671
2019-01,occ22_02,summary,,,,,unemployment_entry_rate,0.005042396373293423
2019-01,occ22_03,matrix,nilf,58372.2489,3708454.3309,0.015740317580190805,,
2019-01,occ22_03,matrix,occ22_01,38957.5577,3708454.3309,0.010505066052827847,,
2019-01,occ22_03,matrix,occ22_02,23873.153,3708454.3309,0.006437494133629052,,
2019-01,occ22_03,matrix,occ22_03,3436704.3912,3708454.3309,0.9267215083557334,,
2019-01,occ22_03,matrix,occ22_04,17032.3907,3708454.3309,0.004592854375495689,,
2019-01,occ22_03,matrix,occ22_05,253.4688,3708454.3309,6.834890695242457e-05,,
2019-01,occ22_03,matrix,occ22_07,3953.3781,3708454.3309,0.0010660447041397323,,
2019-01,occ22_03,matrix,occ22_08,12030.5154,3708454.3309,0.003244078078502407,,
2019-01,occ22_03,matrix,occ22_10,10031.2401,3708454.3309,0.002704965250998664,,
2019-01,occ22_03,matrix,occ22_12,836.1877,3708454.3309,0.00022548146084276212,,
2019-01,occ22_03,matrix,occ22_13,6863.1661,3708454.3309,0.0018506810351725128,,
2019-01,occ22_03,matrix,occ22_15,5101.3817,3708454.3309,0.001375608608010538,,
2019-01,occ22_03,matrix,occ22_16,27265.3716,3708454.3309,0.007352219864976199,,
2019-01,occ22_03,matrix,occ22_17,21490.0779,3708454.3309,0.0057948881076781665,,
2019-01,occ22_03,matrix,occ22_19,3697.9837,3708454.3309,0.000997176551208207,,
2019-01,occ22_03,matrix,occ22_20,13419.9731,3708454.3309,0.0036187510759349496,,
2019-01,occ22_03,matrix,occ22_21,7917.460300000001,3708454.3309,0.0021349758129766486,,
2019-01,occ22_03,matrix,occ22_22,5033.034,3708454.3309,0.0013571783689132122,,
2019-01,occ22_03,matrix,unemployed,15621.3509,3708454.3309,0.004212361675816801,,
2019-01,occ22_03,summary,,,,,nilf_entry_rate,0.015740317580190805
2019-01,occ22_03,summary,,,,,occ_switch_rate,0.05332581238825901
2019-01,occ22_03,summary,,,,,retention_rate,0.9267215083557334
2019-01,occ22_03,summary,,,,,unemployment_entry_rate,0.004212361675816801
2019-01,occ22_04,matrix,nilf,38385.895,2479896.7952,0.015478827616656615,,
2019-01,occ22_04,matrix,occ22_01,40495.6749,2479896.7952,0.01632958072222279,,
