acs_year,puma,population_weight_sum,high_ai_tercile_share,middle_ai_tercile_share,low_ai_tercile_share,occ22_share_sum_check,occ22_share_1,occ22_share_2,occ22_share_3,occ22_share_4,occ22_share_5,occ22_share_6,occ22_share_7,occ22_share_8,occ22_share_9,occ22_share_10,occ22_share_11,occ22_share_12,occ22_share_13,occ22_share_14,occ22_share_15,occ22_share_16,occ22_share_17,occ22_share_18,occ22_share_19,occ22_share_20,occ22_share_21,occ22_share_22
2024,00100,972454.0,0.28687423775314824,0.35008236893467454,0.3630433933121772,1.0,0.11035689091720534,0.04064665269514033,0.019094990611381105,0.01471946230875702,0.008744886647594641,0.01939731853640378,0.0070039302630252945,0.06834976255946297,0.015648040935612378,0.06160188553905892,0.029160248196829875,0.02470553877098557,0.06333050200832122,0.03856532031335158,0.029964399344339167,0.09376690311315497,0.10385272722411548,0.010684310003352343,0.05531778366894475,0.041136136002319905,0.07253813547993015,0.0714141748607132
2024,00101,723234.0,0.398121493182013,0.32347621931491055,0.27840228750307644,1.0,0.13070458523797276,0.07842966453457664,0.039048219525077636,0.023411509967728287,0.022469906005525182,0.020166363860106135,0.019923012468993438,0.08126000713462032,0.030414775854011287,0.06476880235165935,0.026359380228252544,0.019365793090479706,0.04794575476263561,0.02514262327268906,0.025485527505620588,0.08131946230403991,0.10519416952189747,0.0033958580487089933,0.03348017377501611,0.023064457699720976,0.03701706501630178,0.06163288783436619
2024,00102,504244.0,0.3720996184386924,0.3245412935007655,0.3033590880605421,1.0,0.11065674554382403,0.06967658514528681,0.04048238551177605,0.015091899953197261,0.01650589793829971,0.021243683613488707,0.019512378927662007,0.0680424556365569,0.018675482504501788,0.07621310318020641,0.03360872910733692,0.02396062223844012,0.049587104655682564,0.030893773649265037,0.023748423382330776,0.09076359857529291,0.11773268496997485,0.0031968650097968444,0.035901270020069646,0.029372684652668152,0.03586557301623817,0.06926805276810433
2024,00103,248194.0,0.41272552922310773,0.3204871995294004,0.2667872712474919,1.0,0.12204565783217966,0.09598539851890053,0.046560351982723194,0.01876354786981152,0.020419510544171092,0.019976308855169746,0.027945881044666672,0.045577250054392934,0.0334536693070743,0.06517482292077971,0.034054006140357945,0.01583035850987534,0.047301707535234536,0.02131800124096473,0.02281682877104201,0.07399050742564284,0.10897523711290362,0.0014182454048043062,0.046318605606904276,0.03194275445820608,0.04650797360129576,0.05362337526289918
2024,00104,228905.0,0.35601668814573734,0.32776916187938226,0.3162141499748804,1.0,0.11619667547672616,0.06261986413577685,0.03984185579170398,0.030842489242262072,0.008103798519036282,0.021493632729735042,0.006893689521854044,0.05933902710731526,0.022231930276752365,0.06324894606933007,0.03183416701251611,0.02826936938904786,0.06229658591992311,0.03514558441274765,0.020803390052641927,0.08700115768550272,0.12544505362486622,0.0,0.04365566501387038,0.03203075511675149,0.035394596011445796,0.06731176689019462
2024,00105,221917.0,0.5310273660873209,0.2470022576008147,0.22197037631186434,1.0,0.1607898448519041,0.12098216900913404,0.06355078700595268,0.021823474542283828,0.029037883533032622,0.018430314036328898,0.03239048833572913,0.050784752858050536,0.035625932217901286,0.08275165940419166,0.01570406953951252,0.019701059405092897,0.03842878193198358,0.023819716380448545,0.016889197312508732,0.07900701613666371,0.09203440926112015,0.002068340866179698,0.01598345327307056,0.014874930717340267,0.019547848970561065,0.04577387041100952
2024,00106,135360.0,0.5369680851063829,0.2644946808510638,0.1985372340425532,1.0,0.1647828014184397,0.11187204491725768,0.07919621749408984,0.03311170212765958,0.02740839243498818,0.022872340425531913,0.05084958628841608,0.04063977541371158,0.054373522458628844,0.05573286052009456,0.017560579196217493,0.014014479905437352,0.03831264775413712,0.01404403073286052,0.01618646572104019,0.08282358156028369,0.09150413711583924,0.0,0.013320035460992908,0.017420212765957448,0.020124113475177306,0.03385047281323877
2024,00107,66396.0,0.4913699620459064,0.2943852039279475,0.21424483402614616,1.0,0.15487378757756493,0.11435929875293692,0.07419121633833363,0.05411470570516296,0.0055425025603952046,0.007560696427495632,0.009322850774143021,0.059205373817699865,0.030875353936984155,0.060139165009940355,0.01096451593469486,0.018826435327429364,0.052051328393276704,0.01198867401650702,0.019715043074884028,0.06491354900897645,0.11225073799626484,0.0,0.015031025965419604,0.027833001988071572,0.04569552382673655,0.05054521356708235
2024,00108,63947.0,0.4687631945204623,0.2666739643767495,0.26456284110278827,1.0,0.11129529141320156,0.08796346974838538,0.06786870377030979,0.07498397110106807,0.00702143962969334,0.011259324127793329,0.01892191971476379,0.0572192596994386,0.02561496239072982,0.08381941295135034,0.027616620013448636,0.016888986191689992,0.04233193113046742,0.006614852925078581,0.03061910644752686,0.0852268284673245,0.1112327396124916,0.00020329335230737954,0.02217461335168186,0.01061816817051621,0.023112890362331304,0.07739221542840165
2024,00109,71930.0,0.32067287640761855,0.30593632698456835,0.37339079660781316,1.0,0.0694286111497289,0.057778395662449605,0.04927012373140553,0.044682330043097455,0.027304323647991104,0.01190045877936883,0.008661198387321007,0.08833588210760461,0.01996385374669818,0.05598498540247463,0.02445433059919366,0.007562908383150285,0.12334213818990686,0.019532879188099542,0.02601139997219519,0.07693590991241485,0.10173780063951064,0.0017656054497428054,0.04475184206867788,0.023773112748505493,0.035770888363686915,0.08105102182677604
2024,00110,74296.0,0.4873479056745989,0.2469715731667923,0.2656805211586088,1.0,0.14710078604500915,0.11615699364703348,0.04628782168622806,0.04245181436416496,0.013136642618714332,0.025102293528588348,0.03016313125874879,0.03545278346075159,0.0466781522558415,0.07576450952944977,0.02298912458275008,0.01628620652525035,0.04408043501669,0.01987993970065683,0.02426779369010445,0.12041025088833854,0.09565790890492086,0.0,0.016986109615591688,0.008654570905566922,0.012436739528372995,0.04005599224722731
