month,sector6_code,sector6_label,ces_payroll_employment_thousands,ces_avg_weekly_hours,payroll_index_aug2023_100,hours_index_aug2023_100,employment_series_id,hours_series_id
2019-09,FAS,Financial activities,8785.0,37.6,95.56184053083868,100.80428954423593,CES5500000001,CES5500000002
2019-09,PBS,Professional and business services,21465.0,36.1,94.27705551651441,99.17582417582418,CES6000000001,CES6000000002
2019-09,HCS,Health care and social assistance,24288.0,32.9,95.08299404948325,98.50299401197606,CES6500000001,CES6500000002
2019-09,RET,Retail trade,15526.5,30.7,99.96973833316163,102.67558528428094,CES4200000001,CES4200000002
2019-10,MFG,Manufacturing,12733.0,40.3,99.00474302153798,100.74999999999999,CES3000000001,CES3000000002
2019-10,INF,Information,2874.0,36.4,96.41060046964107,99.18256130790189,CES5000000001,CES5000000002
2019-10,FAS,Financial activities,8801.0,37.7,95.73588600021755,101.07238605898125,CES5500000001,CES5500000002
2019-10,PBS,Professional and business services,21476.0,36.1,94.32536893886156,99.17582417582418,CES6000000001,CES6000000002
2019-10,HCS,Health care and social assistance,24328.0,33.0,95.23958659567805,98.80239520958084,CES6500000001,CES6500000002
2019-10,RET,Retail trade,15527.2,30.6,99.9742453899248,102.34113712374584,CES4200000001,CES4200000002
2019-11,MFG,Manufacturing,12777.0,40.5,99.3468626078843,101.25,CES3000000001,CES3000000002
2019-11,INF,Information,2885.0,36.3,96.77960415967796,98.9100817438692,CES5000000001,CES5000000002
2019-11,FAS,Financial activities,8813.0,37.7,95.86642010225171,101.07238605898125,CES5500000001,CES5500000002
2019-11,PBS,Professional and business services,21487.0,36.1,94.37368236120871,99.17582417582418,CES6000000001,CES6000000002
2019-11,HCS,Health care and social assistance,24391.0,33.0,95.48621985593486,98.80239520958084,CES6500000001,CES6500000002
2019-11,RET,Retail trade,15509.6,30.2,99.8609251055939,101.00334448160535,CES4200000001,CES4200000002
2019-12,MFG,Manufacturing,12760.0,40.5,99.21468004043231,101.25,CES3000000001,CES3000000002
2019-12,INF,Information,2891.0,36.1,96.98087889969808,98.36512261580381,CES5000000001,CES5000000002
2019-12,FAS,Financial activities,8822.0,37.5,95.96432067877733,100.53619302949062,CES5500000001,CES5500000002
2019-12,PBS,Professional and business services,21467.0,36.1,94.28583977512298,99.17582417582418,CES6000000001,CES6000000002
2019-12,HCS,Health care and social assistance,24428.0,33.0,95.63106796116504,98.80239520958084,CES6500000001,CES6500000002
2019-12,RET,Retail trade,15550.1,30.6,100.12169053260533,102.34113712374584,CES4200000001,CES4200000002
2020-01,MFG,Manufacturing,12745.0,40.3,99.0980483632688,100.74999999999999,CES3000000001,CES3000000002
2020-01,INF,Information,2901.0,36.2,97.31633679973163,98.63760217983652,CES5000000001,CES5000000002
2020-01,FAS,Financial activities,8833.0,37.7,96.0839769389753,101.07238605898125,CES5500000001,CES5500000002
2020-01,PBS,Professional and business services,21476.0,36.0,94.32536893886156,98.9010989010989,CES6000000001,CES6000000002
2020-01,HCS,Health care and social assistance,24510.0,33.0,95.9520826808644,98.80239520958084,CES6500000001,CES6500000002
2020-01,RET,Retail trade,15512.5,30.4,99.87959719789842,101.67224080267559,CES4200000001,CES4200000002
2020-02,MFG,Manufacturing,12743.0,40.5,99.08249747298032,101.25,CES3000000001,CES3000000002
2020-02,INF,Information,2910.0,36.3,97.61824890976183,98.9100817438692,CES5000000001,CES5000000002
2020-02,FAS,Financial activities,8872.0,37.6,96.50821277058631,100.80428954423593,CES5500000001,CES5500000002
2020-02,PBS,Professional and business services,21483.0,36.1,94.35611384399157,99.17582417582418,CES6000000001,CES6000000002
2020-02,HCS,Health care and social assistance,24573.0,33.0,96.19871594112121,98.80239520958084,CES6500000001,CES6500000002
2020-02,RET,Retail trade,15519.2,30.6,99.92273616977438,102.34113712374584,CES4200000001,CES4200000002
2020-03,MFG,Manufacturing,12684.0,40.3,98.6237462094705,100.74999999999999,CES3000000001,CES3000000002
2020-03,INF,Information,2902.0,36.3,97.34988258973499,98.9100817438692,CES5000000001,CES5000000002
2020-03,FAS,Financial activities,8855.0,37.6,96.32328945937127,100.80428954423593,CES5500000001,CES5500000002
2020-03,PBS,Professional and business services,21388.0,36.0,93.93886156008433,98.9010989010989,CES6000000001,CES6000000002
2020-03,HCS,Health care and social assistance,24356.0,32.8,95.3492013780144,98.20359281437125,CES6500000001,CES6500000002
2020-03,RET,Retail trade,15432.9,30.6,99.36708045740187,102.34113712374584,CES4200000001,CES4200000002
2020-04,MFG,Manufacturing,11382.0,38.0,88.50011663167716,95.0,CES3000000001,CES3000000002
2020-04,INF,Information,2643.0,36.5,88.66152297886615,99.4550408719346,CES5000000001,CES5000000002
2020-04,FAS,Financial activities,8592.0,37.6,93.462417056456,100.80428954423593,CES5500000001,CES5500000002
2020-04,PBS,Professional and business services,19223.0,35.9,84.42990161630358,98.62637362637363,CES6000000001,CES6000000002
2020-04,HCS,Health care and social assistance,21742.0,32.7,85.11587848418415,97.90419161676648,CES6500000001,CES6500000002
2020-04,RET,Retail trade,13246.9,30.5,85.29218605130318,102.0066889632107,CES4200000001,CES4200000002
2020-05,MFG,Manufacturing,11610.0,38.7,90.27291812456262,96.75,CES3000000001,CES3000000002
2020-05,INF,Information,2609.0,36.6,87.5209661187521,99.72752043596729,CES5000000001,CES5000000002
2020-05,FAS,Financial activities,8607.0,37.7,93.6255846839987,101.07238605898125,CES5500000001,CES5500000002
2020-05,PBS,Professional and business services,19410.0,36.5,85.2512297962052,100.27472527472527,CES6000000001,CES6000000002
2020-05,HCS,Health care and social assistance,22150.0,32.9,86.71312245537112,98.50299401197606,CES6500000001,CES6500000002
2020-05,RET,Retail trade,13631.4,31.2,87.7678479447821,104.34782608695652,CES4200000001,CES4200000002
2020-06,MFG,Manufacturing,11950.0,39.1,92.91656947360237,97.75,CES3000000001,CES3000000002
2020-06,INF,Information,2622.0,36.6,87.95706138879571,99.72752043596729,CES5000000001,CES5000000002
2020-06,FAS,Financial activities,8622.0,37.5,93.78875231154139,100.53619302949062,CES5500000001,CES5500000002
2020-06,PBS,Professional and business services,19768.0,36.4,86.82361208713985,100.0,CES6000000001,CES6000000002
2020-06,HCS,Health care and social assistance,22727.0,33.1,88.97196993423113,99.10179640718565,CES6500000001,CES6500000002
2020-06,RET,Retail trade,14452.3,31.1,93.05333779746574,104.01337792642143,CES4200000001,CES4200000002
