quarter,sector6_code,sector6_label,gross_job_gains_rate,gross_job_losses_rate,openings_rate,closings_rate,gains_series_id,losses_series_id,openings_series_id,closings_series_id
2021-Q3,MFG,Manufacturing,4.0,3.3,0.4,0.4,BDS0000000000100030110001RQ5,BDS0000000000100030110004RQ5,BDS0000000000100030110003RQ5,BDS0000000000100030110006RQ5
2021-Q3,INF,Information,8.3,5.1,1.5,1.2,BDS0000000000200050110001RQ5,BDS0000000000200050110004RQ5,BDS0000000000200050110003RQ5,BDS0000000000200050110006RQ5
2021-Q3,FAS,Financial activities,5.9,5.1,1.4,1.3,BDS0000000000200060110001RQ5,BDS0000000000200060110004RQ5,BDS0000000000200060110003RQ5,BDS0000000000200060110006RQ5
2021-Q3,PBS,Professional and business services,8.3,6.9,1.8,1.6,BDS0000000000200070110001RQ5,BDS0000000000200070110004RQ5,BDS0000000000200070110003RQ5,BDS0000000000200070110006RQ5
2021-Q3,HCS,Health care and social assistance,4.8,4.7,1.0,1.0,BDS0000000000200080110001RQ5,BDS0000000000200080110004RQ5,BDS0000000000200080110003RQ5,BDS0000000000200080110006RQ5
2021-Q3,RET,Retail trade,6.2,6.4,0.8,0.8,BDS0000000000200020110001RQ5,BDS0000000000200020110004RQ5,BDS0000000000200020110003RQ5,BDS0000000000200020110006RQ5
2021-Q4,MFG,Manufacturing,4.7,2.8,0.5,0.4,BDS0000000000100030110001RQ5,BDS0000000000100030110004RQ5,BDS0000000000100030110003RQ5,BDS0000000000100030110006RQ5
2021-Q4,INF,Information,7.7,5.8,1.6,1.2,BDS0000000000200050110001RQ5,BDS0000000000200050110004RQ5,BDS0000000000200050110003RQ5,BDS0000000000200050110006RQ5
2021-Q4,FAS,Financial activities,6.1,4.7,1.5,1.1,BDS0000000000200060110001RQ5,BDS0000000000200060110004RQ5,BDS0000000000200060110003RQ5,BDS0000000000200060110006RQ5
2021-Q4,PBS,Professional and business services,9.0,5.9,1.7,1.4,BDS0000000000200070110001RQ5,BDS0000000000200070110004RQ5,BDS0000000000200070110003RQ5,BDS0000000000200070110006RQ5
2021-Q4,HCS,Health care and social assistance,5.5,4.3,1.3,0.9,BDS0000000000200080110001RQ5,BDS0000000000200080110004RQ5,BDS0000000000200080110003RQ5,BDS0000000000200080110006RQ5
2021-Q4,RET,Retail trade,6.1,5.3,0.8,0.7,BDS0000000000200020110001RQ5,BDS0000000000200020110004RQ5,BDS0000000000200020110003RQ5,BDS0000000000200020110006RQ5
2022-Q1,MFG,Manufacturing,3.8,2.8,0.3,0.4,BDS0000000000100030110001RQ5,BDS0000000000100030110004RQ5,BDS0000000000100030110003RQ5,BDS0000000000100030110006RQ5
2022-Q1,INF,Information,7.4,5.2,1.2,1.3,BDS0000000000200050110001RQ5,BDS0000000000200050110004RQ5,BDS0000000000200050110003RQ5,BDS0000000000200050110006RQ5
2022-Q1,FAS,Financial activities,5.6,5.0,1.1,1.3,BDS0000000000200060110001RQ5,BDS0000000000200060110004RQ5,BDS0000000000200060110003RQ5,BDS0000000000200060110006RQ5
2022-Q1,PBS,Professional and business services,7.4,6.3,1.5,1.4,BDS0000000000200070110001RQ5,BDS0000000000200070110004RQ5,BDS0000000000200070110003RQ5,BDS0000000000200070110006RQ5
2022-Q1,HCS,Health care and social assistance,4.9,4.1,1.0,0.9,BDS0000000000200080110001RQ5,BDS0000000000200080110004RQ5,BDS0000000000200080110003RQ5,BDS0000000000200080110006RQ5
2022-Q1,RET,Retail trade,6.6,4.8,0.8,0.7,BDS0000000000200020110001RQ5,BDS0000000000200020110004RQ5,BDS0000000000200020110003RQ5,BDS0000000000200020110006RQ5
2022-Q2,MFG,Manufacturing,3.7,3.3,0.4,0.4,BDS0000000000100030110001RQ5,BDS0000000000100030110004RQ5,BDS0000000000100030110003RQ5,BDS0000000000100030110006RQ5
2022-Q2,INF,Information,7.0,6.0,1.4,1.2,BDS0000000000200050110001RQ5,BDS0000000000200050110004RQ5,BDS0000000000200050110003RQ5,BDS0000000000200050110006RQ5
2022-Q2,FAS,Financial activities,5.6,5.3,1.3,1.2,BDS0000000000200060110001RQ5,BDS0000000000200060110004RQ5,BDS0000000000200060110003RQ5,BDS0000000000200060110006RQ5
2022-Q2,PBS,Professional and business services,7.5,7.0,1.7,1.4,BDS0000000000200070110001RQ5,BDS0000000000200070110004RQ5,BDS0000000000200070110003RQ5,BDS0000000000200070110006RQ5
2022-Q2,HCS,Health care and social assistance,5.2,4.7,1.1,1.2,BDS0000000000200080110001RQ5,BDS0000000000200080110004RQ5,BDS0000000000200080110003RQ5,BDS0000000000200080110006RQ5
2022-Q2,RET,Retail trade,5.4,6.5,0.8,0.7,BDS0000000000200020110001RQ5,BDS0000000000200020110004RQ5,BDS0000000000200020110003RQ5,BDS0000000000200020110006RQ5
2022-Q3,MFG,Manufacturing,3.9,3.3,0.4,0.4,BDS0000000000100030110001RQ5,BDS0000000000100030110004RQ5,BDS0000000000100030110003RQ5,BDS0000000000100030110006RQ5
2022-Q3,INF,Information,6.6,5.8,1.3,1.3,BDS0000000000200050110001RQ5,BDS0000000000200050110004RQ5,BDS0000000000200050110003RQ5,BDS0000000000200050110006RQ5
2022-Q3,FAS,Financial activities,5.8,5.0,1.2,1.2,BDS0000000000200060110001RQ5,BDS0000000000200060110004RQ5,BDS0000000000200060110003RQ5,BDS0000000000200060110006RQ5
2022-Q3,PBS,Professional and business services,7.9,6.6,1.7,1.5,BDS0000000000200070110001RQ5,BDS0000000000200070110004RQ5,BDS0000000000200070110003RQ5,BDS0000000000200070110006RQ5
2022-Q3,HCS,Health care and social assistance,5.6,4.1,1.0,1.0,BDS0000000000200080110001RQ5,BDS0000000000200080110004RQ5,BDS0000000000200080110003RQ5,BDS0000000000200080110006RQ5
2022-Q3,RET,Retail trade,6.1,5.9,0.8,0.7,BDS0000000000200020110001RQ5,BDS0000000000200020110004RQ5,BDS0000000000200020110003RQ5,BDS0000000000200020110006RQ5
2022-Q4,MFG,Manufacturing,3.7,3.2,0.4,0.4,BDS0000000000100030110001RQ5,BDS0000000000100030110004RQ5,BDS0000000000100030110003RQ5,BDS0000000000100030110006RQ5
2022-Q4,INF,Information,5.4,6.3,1.3,1.3,BDS0000000000200050110001RQ5,BDS0000000000200050110004RQ5,BDS0000000000200050110003RQ5,BDS0000000000200050110006RQ5
2022-Q4,FAS,Financial activities,5.3,5.5,1.3,1.3,BDS0000000000200060110001RQ5,BDS0000000000200060110004RQ5,BDS0000000000200060110003RQ5,BDS0000000000200060110006RQ5
2022-Q4,PBS,Professional and business services,6.7,7.0,1.5,1.5,BDS0000000000200070110001RQ5,BDS0000000000200070110004RQ5,BDS0000000000200070110003RQ5,BDS0000000000200070110006RQ5
2022-Q4,HCS,Health care and social assistance,4.9,4.3,1.0,1.0,BDS0000000000200080110001RQ5,BDS0000000000200080110004RQ5,BDS0000000000200080110003RQ5,BDS0000000000200080110006RQ5
2022-Q4,RET,Retail trade,5.3,5.8,0.8,0.7,BDS0000000000200020110001RQ5,BDS0000000000200020110004RQ5,BDS0000000000200020110003RQ5,BDS0000000000200020110006RQ5
2023-Q1,MFG,Manufacturing,3.4,3.2,0.4,0.4,BDS0000000000100030110001RQ5,BDS0000000000100030110004RQ5,BDS0000000000100030110003RQ5,BDS0000000000100030110006RQ5
2023-Q1,INF,Information,4.8,6.0,1.0,1.1,BDS0000000000200050110001RQ5,BDS0000000000200050110004RQ5,BDS0000000000200050110003RQ5,BDS0000000000200050110006RQ5
2023-Q1,FAS,Financial activities,4.9,4.8,1.1,1.3,BDS0000000000200060110001RQ5,BDS0000000000200060110004RQ5,BDS0000000000200060110003RQ5,BDS0000000000200060110006RQ5
