abs_reference_year,industry_code,industry_label,firm_size_class,measure_key,measure_label,weighted_share,source_table_id
2018,53,Real estate and rental and leasing,All firms,ai_workforce_unchanged,Artificial Intelligence: Did not change number of workers employed by this business,0.877,ABSTCB2018
2018,54,"Professional, scientific, and technical services",All firms,ai_total_use,Artificial Intelligence: Total use,0.056,ABSTCB2018
2018,54,"Professional, scientific, and technical services",All firms,ai_workforce_decreased,Artificial Intelligence: Decreased number of workers employed by this business,0.036,ABSTCB2018
2018,54,"Professional, scientific, and technical services",All firms,ai_workforce_increased,Artificial Intelligence: Increased number of workers employed by this business,0.156,ABSTCB2018
2018,54,"Professional, scientific, and technical services",All firms,ai_workforce_unchanged,Artificial Intelligence: Did not change number of workers employed by this business,0.808,ABSTCB2018
2018,55,Management of companies and enterprises,All firms,ai_total_use,Artificial Intelligence: Total use,0.045,ABSTCB2018
2018,55,Management of companies and enterprises,All firms,ai_workforce_decreased,Artificial Intelligence: Decreased number of workers employed by this business,0.074,ABSTCB2018
2018,55,Management of companies and enterprises,All firms,ai_workforce_increased,Artificial Intelligence: Increased number of workers employed by this business,0.173,ABSTCB2018
2018,55,Management of companies and enterprises,All firms,ai_workforce_unchanged,Artificial Intelligence: Did not change number of workers employed by this business,0.75,ABSTCB2018
2018,56,Administrative and support and waste management and remediation services,All firms,ai_total_use,Artificial Intelligence: Total use,0.027,ABSTCB2018
2018,56,Administrative and support and waste management and remediation services,All firms,ai_workforce_decreased,Artificial Intelligence: Decreased number of workers employed by this business,0.066,ABSTCB2018
2018,56,Administrative and support and waste management and remediation services,All firms,ai_workforce_increased,Artificial Intelligence: Increased number of workers employed by this business,0.184,ABSTCB2018
2018,56,Administrative and support and waste management and remediation services,All firms,ai_workforce_unchanged,Artificial Intelligence: Did not change number of workers employed by this business,0.751,ABSTCB2018
2018,61,Educational services,All firms,ai_total_use,Artificial Intelligence: Total use,0.029,ABSTCB2018
2018,61,Educational services,All firms,ai_workforce_decreased,Artificial Intelligence: Decreased number of workers employed by this business,0.111,ABSTCB2018
