month,sector6_code,sector6_label,rate_name,rate_value,series_id
2019-08,RET,Retail trade,hires_rate,5.0,JTS440000000000000HIR
2019-08,RET,Retail trade,quits_rate,3.5,JTS440000000000000QUR
2019-08,RET,Retail trade,layoffs_discharges_rate,1.4,JTS440000000000000LDR
2019-09,MFG,Manufacturing,job_openings_rate,3.3,JTS300000000000000JOR
2019-09,MFG,Manufacturing,hires_rate,2.7,JTS300000000000000HIR
2019-09,MFG,Manufacturing,quits_rate,1.7,JTS300000000000000QUR
2019-09,MFG,Manufacturing,layoffs_discharges_rate,0.9,JTS300000000000000LDR
2019-09,INF,Information,job_openings_rate,5.8,JTS510000000000000JOR
2019-09,INF,Information,hires_rate,3.3,JTS510000000000000HIR
2019-09,INF,Information,quits_rate,1.4,JTS510000000000000QUR
2019-09,INF,Information,layoffs_discharges_rate,1.2,JTS510000000000000LDR
2019-09,FAS,Financial activities,job_openings_rate,4.1,JTS510099000000000JOR
2019-09,FAS,Financial activities,hires_rate,2.6,JTS510099000000000HIR
2019-09,FAS,Financial activities,quits_rate,1.5,JTS510099000000000QUR
2019-09,FAS,Financial activities,layoffs_discharges_rate,0.7,JTS510099000000000LDR
2019-09,PBS,Professional and business services,job_openings_rate,5.5,JTS540099000000000JOR
2019-09,PBS,Professional and business services,hires_rate,5.4,JTS540099000000000HIR
2019-09,PBS,Professional and business services,quits_rate,3.0,JTS540099000000000QUR
2019-09,PBS,Professional and business services,layoffs_discharges_rate,2.1,JTS540099000000000LDR
2019-09,HCS,Health care and social assistance,job_openings_rate,5.1,JTS620000000000000JOR
2019-09,HCS,Health care and social assistance,hires_rate,3.1,JTS620000000000000HIR
2019-09,HCS,Health care and social assistance,quits_rate,2.0,JTS620000000000000QUR
2019-09,HCS,Health care and social assistance,layoffs_discharges_rate,0.7,JTS620000000000000LDR
2019-09,RET,Retail trade,job_openings_rate,4.5,JTS440000000000000JOR
2019-09,RET,Retail trade,hires_rate,5.0,JTS440000000000000HIR
2019-09,RET,Retail trade,quits_rate,3.3,JTS440000000000000QUR
2019-09,RET,Retail trade,layoffs_discharges_rate,1.4,JTS440000000000000LDR
2019-10,MFG,Manufacturing,job_openings_rate,3.0,JTS300000000000000JOR
2019-10,MFG,Manufacturing,hires_rate,2.4,JTS300000000000000HIR
2019-10,MFG,Manufacturing,quits_rate,1.5,JTS300000000000000QUR
