month,origin_state,destination_state,weighted_transition_count
2019-01,occ22_06,unemployed,9874.9731
2019-01,occ22_07,nilf,18882.7517
2019-01,occ22_07,occ22_01,24270.2193
2019-01,occ22_07,occ22_02,3604.5877
2019-01,occ22_07,occ22_07,1256196.6305
2019-01,occ22_07,occ22_10,2994.5834
2019-01,occ22_07,occ22_11,4679.2789
2019-01,occ22_07,occ22_12,7308.6921
2019-01,occ22_07,occ22_14,471.6263
2019-01,occ22_07,occ22_16,7356.323200000001
2019-01,occ22_07,occ22_19,4091.3053
2019-01,occ22_07,occ22_21,4037.8142
2019-01,occ22_07,unemployed,5810.400900000001
2019-01,occ22_08,nilf,155176.2916
2019-01,occ22_08,occ22_01,18993.8718
2019-01,occ22_08,occ22_02,8044.4438
2019-01,occ22_08,occ22_03,12326.2271
2019-01,occ22_08,occ22_04,14631.3485
2019-01,occ22_08,occ22_05,4683.1285
2019-01,occ22_08,occ22_06,43874.3895
2019-01,occ22_08,occ22_07,12434.7812
2019-01,occ22_08,occ22_08,6430528.7078
2019-01,occ22_08,occ22_09,3995.1457
2019-01,occ22_08,occ22_10,38682.8232
2019-01,occ22_08,occ22_11,3603.6127
2019-01,occ22_08,occ22_13,14036.019400000001
2019-01,occ22_08,occ22_15,7523.9135
2019-01,occ22_08,occ22_16,13888.131
2019-01,occ22_08,occ22_17,22230.0517
2019-01,occ22_08,occ22_18,3211.8839
2019-01,occ22_08,occ22_19,6510.2414
2019-01,occ22_08,occ22_21,6083.659600000001
2019-01,occ22_08,occ22_22,6487.909799999999
2019-01,occ22_08,unemployed,23885.6616
2019-01,occ22_09,nilf,83844.4117
2019-01,occ22_09,occ22_01,11746.597
2019-01,occ22_09,occ22_02,16993.3371
2019-01,occ22_09,occ22_03,13667.001100000001
2019-01,occ22_09,occ22_07,740.736
2019-01,occ22_09,occ22_08,7551.894
2019-01,occ22_09,occ22_09,2050641.7912
2019-01,occ22_09,occ22_10,3336.7308
2019-01,occ22_09,occ22_14,3399.348
2019-01,occ22_09,occ22_15,3308.5002
2019-01,occ22_09,occ22_16,15177.8691
2019-01,occ22_09,occ22_17,14016.4537
2019-01,occ22_09,occ22_20,7095.4436000000005
2019-01,occ22_09,occ22_21,2646.3923
2019-01,occ22_09,occ22_22,1604.1167
2019-01,occ22_09,unemployed,15887.7748
2019-01,occ22_10,nilf,98757.3076
2019-01,occ22_10,occ22_01,51623.228
2019-01,occ22_10,occ22_02,12435.1665
2019-01,occ22_10,occ22_03,7254.3159
2019-01,occ22_10,occ22_04,5716.8693
2019-01,occ22_10,occ22_05,7053.5646
2019-01,occ22_10,occ22_06,7831.020999999999
2019-01,occ22_10,occ22_07,688.8839
2019-01,occ22_10,occ22_08,9415.2605
2019-01,occ22_10,occ22_09,9167.470000000001
2019-01,occ22_10,occ22_10,6337353.95
2019-01,occ22_10,occ22_11,48117.5858
2019-01,occ22_10,occ22_13,4890.4675
2019-01,occ22_10,occ22_14,5868.3614
2019-01,occ22_10,occ22_15,40228.1057
2019-01,occ22_10,occ22_16,16791.8728
2019-01,occ22_10,occ22_17,30748.6283
2019-01,occ22_10,occ22_19,3924.9225
2019-01,occ22_10,occ22_21,5428.7697
2019-01,occ22_10,occ22_22,13164.8548
2019-01,occ22_10,unemployed,35481.8286
2019-01,occ22_11,nilf,83898.383
2019-01,occ22_11,occ22_01,10004.1436
2019-01,occ22_11,occ22_02,4564.7684
2019-01,occ22_11,occ22_05,4792.3413
2019-01,occ22_11,occ22_08,10517.9319
2019-01,occ22_11,occ22_10,54699.739799999996
2019-01,occ22_11,occ22_11,2180523.5270000002
2019-01,occ22_11,occ22_12,633.0315
2019-01,occ22_11,occ22_13,9522.4862
2019-01,occ22_11,occ22_14,2719.6508
2019-01,occ22_11,occ22_15,46752.2495
2019-01,occ22_11,occ22_16,2588.2837
2019-01,occ22_11,occ22_17,31568.267
2019-01,occ22_11,occ22_20,6892.7054
2019-01,occ22_11,unemployed,27262.6534
2019-01,occ22_12,nilf,55618.5104
2019-01,occ22_12,occ22_01,9652.9869
2019-01,occ22_12,occ22_03,3602.3887
2019-01,occ22_12,occ22_05,3488.5537
2019-01,occ22_12,occ22_06,5043.3553
2019-01,occ22_12,occ22_07,4929.4637
2019-01,occ22_12,occ22_09,3000.6536
2019-01,occ22_12,occ22_10,425.0528
2019-01,occ22_12,occ22_12,1930136.3371
2019-01,occ22_12,occ22_14,7085.702
2019-01,occ22_12,occ22_15,3272.797
2019-01,occ22_12,occ22_16,5006.0595
2019-01,occ22_12,occ22_17,8057.9553000000005
2019-01,occ22_12,occ22_19,1611.9286
2019-01,occ22_12,occ22_20,8598.4741
2019-01,occ22_12,occ22_21,4306.7671
2019-01,occ22_12,occ22_22,883.7275
2019-01,occ22_12,unemployed,31463.0985
2019-01,occ22_13,nilf,252211.88640000002
2019-01,occ22_13,occ22_01,38839.8408
2019-01,occ22_13,occ22_02,13151.0265
2019-01,occ22_13,occ22_06,8560.845000000001
2019-01,occ22_13,occ22_08,11279.3547
2019-01,occ22_13,occ22_09,7165.4908
2019-01,occ22_13,occ22_10,13381.8034
2019-01,occ22_13,occ22_11,8851.4532
2019-01,occ22_13,occ22_12,4673.0929
2019-01,occ22_13,occ22_13,4718755.1324000005
2019-01,occ22_13,occ22_14,6644.573899999999
2019-01,occ22_13,occ22_15,22968.6626
2019-01,occ22_13,occ22_16,80591.8
2019-01,occ22_13,occ22_17,20923.1814
2019-01,occ22_13,occ22_18,1040.9645
2019-01,occ22_13,occ22_19,11763.8756
2019-01,occ22_13,occ22_20,3608.9624
2019-01,occ22_13,occ22_21,26954.3117
2019-01,occ22_13,occ22_22,31122.2726
2019-01,occ22_13,unemployed,77319.3036
2019-01,occ22_14,nilf,217484.5833
2019-01,occ22_14,occ22_01,8505.104599999999
2019-01,occ22_14,occ22_02,8320.488299999999
2019-01,occ22_14,occ22_06,3725.9749
2019-01,occ22_14,occ22_09,2875.8103
2019-01,occ22_14,occ22_11,4650.924
2019-01,occ22_14,occ22_13,10570.318800000001
2019-01,occ22_14,occ22_14,3323627.4052
2019-01,occ22_14,occ22_15,3182.2175
2019-01,occ22_14,occ22_16,20981.4843
2019-01,occ22_14,occ22_17,24758.0743
2019-01,occ22_14,occ22_18,1361.0268
2019-01,occ22_14,occ22_19,28481.3226
2019-01,occ22_14,occ22_20,5792.4697
2019-01,occ22_14,occ22_21,22609.3489
2019-01,occ22_14,occ22_22,8858.6398
2019-01,occ22_14,unemployed,59493.0323
2019-01,occ22_15,nilf,210973.3748
2019-01,occ22_15,occ22_01,37367.433600000004
2019-01,occ22_15,occ22_06,7594.215499999999
2019-01,occ22_15,occ22_08,11448.4092
2019-01,occ22_15,occ22_09,19981.134000000002
2019-01,occ22_15,occ22_10,11339.2762
2019-01,occ22_15,occ22_11,27874.5428
2019-01,occ22_15,occ22_12,2096.6495
2019-01,occ22_15,occ22_13,36272.6124
2019-01,occ22_15,occ22_14,11807.3542
2019-01,occ22_15,occ22_15,3533137.2544
2019-01,occ22_15,occ22_16,24216.7201
2019-01,occ22_15,occ22_17,35329.5874
2019-01,occ22_15,occ22_18,382.053
2019-01,occ22_15,occ22_19,2072.2728
2019-01,occ22_15,occ22_21,17529.651599999997
2019-01,occ22_15,occ22_22,7853.634599999999
2019-01,occ22_15,unemployed,45287.0763
2019-01,occ22_16,nilf,390232.4434
2019-01,occ22_16,occ22_01,97729.4822
2019-01,occ22_16,occ22_02,43879.3947
2019-01,occ22_16,occ22_03,9938.2761
2019-01,occ22_16,occ22_04,5709.1717
2019-01,occ22_16,occ22_06,7063.472299999999
2019-01,occ22_16,occ22_08,25286.7151
2019-01,occ22_16,occ22_09,8823.9873
2019-01,occ22_16,occ22_10,3712.9692999999997
2019-01,occ22_16,occ22_11,22463.156
2019-01,occ22_16,occ22_12,2717.085
2019-01,occ22_16,occ22_13,51741.2894
2019-01,occ22_16,occ22_14,20413.2513
2019-01,occ22_16,occ22_15,30668.319499999998
2019-01,occ22_16,occ22_16,9619533.8665
2019-01,occ22_16,occ22_17,147114.7559
2019-01,occ22_16,occ22_19,25745.884
2019-01,occ22_16,occ22_20,15409.7441
2019-01,occ22_16,occ22_21,30342.1164
2019-01,occ22_16,occ22_22,45725.882
2019-01,occ22_16,unemployed,118003.2169
2019-01,occ22_17,nilf,403545.4494
2019-01,occ22_17,occ22_01,90381.3683
2019-01,occ22_17,occ22_02,85349.4748
2019-01,occ22_17,occ22_03,20550.0596
2019-01,occ22_17,occ22_04,12383.4897
2019-01,occ22_17,occ22_05,3553.1755
2019-01,occ22_17,occ22_06,11453.373
2019-01,occ22_17,occ22_07,11570.2315
2019-01,occ22_17,occ22_08,25632.1888
2019-01,occ22_17,occ22_09,31929.2748
2019-01,occ22_17,occ22_10,35618.8131
2019-01,occ22_17,occ22_11,48354.9173
2019-01,occ22_17,occ22_13,20774.121
2019-01,occ22_17,occ22_14,48181.7168
2019-01,occ22_17,occ22_15,34481.6523
2019-01,occ22_17,occ22_16,135954.8822
2019-01,occ22_17,occ22_17,11209177.4974
2019-01,occ22_17,occ22_18,3398.3523
2019-01,occ22_17,occ22_19,24250.8576
2019-01,occ22_17,occ22_20,8172.1059000000005
2019-01,occ22_17,occ22_21,25962.7546
2019-01,occ22_17,occ22_22,53493.8162
2019-01,occ22_17,unemployed,87421.2014
2019-01,occ22_18,nilf,57799.573899999996
2019-01,occ22_18,occ22_01,6305.1023000000005
