month,sector6_code,sector6_label,ces_payroll_employment_thousands,index_aug2023_100,series_id
2020-02,MFG,Manufacturing,12743.0,99.08249747298032,CES3000000001
2020-02,INF,Information,2910.0,97.61824890976183,CES5000000001
2020-02,FAS,Financial activities,8872.0,96.50821277058631,CES5500000001
2020-02,PBS,Professional and business services,21483.0,94.35611384399157,CES6000000001
2020-02,HCS,Health care and social assistance,24573.0,96.19871594112121,CES6500000001
2020-02,RET,Retail trade,15519.2,99.92273616977438,CES4200000001
2020-03,MFG,Manufacturing,12684.0,98.6237462094705,CES3000000001
2020-03,INF,Information,2902.0,97.34988258973499,CES5000000001
2020-03,FAS,Financial activities,8855.0,96.32328945937127,CES5500000001
2020-03,PBS,Professional and business services,21388.0,93.93886156008433,CES6000000001
2020-03,HCS,Health care and social assistance,24356.0,95.3492013780144,CES6500000001
2020-03,RET,Retail trade,15432.9,99.36708045740187,CES4200000001
2020-04,MFG,Manufacturing,11382.0,88.50011663167716,CES3000000001
2020-04,INF,Information,2643.0,88.66152297886615,CES5000000001
2020-04,FAS,Financial activities,8592.0,93.462417056456,CES5500000001
2020-04,PBS,Professional and business services,19223.0,84.42990161630358,CES6000000001
2020-04,HCS,Health care and social assistance,21742.0,85.11587848418415,CES6500000001
2020-04,RET,Retail trade,13246.9,85.29218605130318,CES4200000001
2020-05,MFG,Manufacturing,11610.0,90.27291812456262,CES3000000001
2020-05,INF,Information,2609.0,87.5209661187521,CES5000000001
2020-05,FAS,Financial activities,8607.0,93.6255846839987,CES5500000001
2020-05,PBS,Professional and business services,19410.0,85.2512297962052,CES6000000001
2020-05,HCS,Health care and social assistance,22150.0,86.71312245537112,CES6500000001
2020-05,RET,Retail trade,13631.4,87.7678479447821,CES4200000001
2020-06,MFG,Manufacturing,11950.0,92.91656947360237,CES3000000001
2020-06,INF,Information,2622.0,87.95706138879571,CES5000000001
2020-06,FAS,Financial activities,8622.0,93.78875231154139,CES5500000001
2020-06,PBS,Professional and business services,19768.0,86.82361208713985,CES6000000001
2020-06,HCS,Health care and social assistance,22727.0,88.97196993423113,CES6500000001
2020-06,RET,Retail trade,14452.3,93.05333779746574,CES4200000001
2020-07,MFG,Manufacturing,11973.0,93.09540471191976,CES3000000001
2020-07,INF,Information,2622.0,87.95706138879571,CES5000000001
2020-07,FAS,Financial activities,8623.0,93.79963015337756,CES5500000001
2020-07,PBS,Professional and business services,19953.0,87.63615600843289,CES6000000001
2020-07,HCS,Health care and social assistance,22923.0,89.73927341058565,CES6500000001
2020-07,RET,Retail trade,14675.8,94.49237663541773,CES4200000001
2020-08,MFG,Manufacturing,11999.0,93.29756628566986,CES3000000001
2020-08,INF,Information,2640.0,88.56088560885608,CES5000000001
2020-08,FAS,Financial activities,8649.0,94.08245404111824,CES5500000001
2020-08,PBS,Professional and business services,20147.0,88.48822909346451,CES6000000001
2020-08,HCS,Health care and social assistance,23124.0,90.52615095521453,CES6500000001
2020-08,RET,Retail trade,14942.7,96.21085299268569,CES4200000001
2020-09,MFG,Manufacturing,12057.0,93.74854210403547,CES3000000001
2020-09,INF,Information,2695.0,90.40590405904058,CES5000000001
2020-09,FAS,Financial activities,8674.0,94.35440008702274,CES5500000001
2020-09,PBS,Professional and business services,20267.0,89.01528460997892,CES6000000001
2020-09,HCS,Health care and social assistance,23189.0,90.7806138427811,CES6500000001
2020-09,RET,Retail trade,14981.1,96.45809724940764,CES4200000001
2020-10,MFG,Manufacturing,12086.0,93.97403001321825,CES3000000001
2020-10,INF,Information,2684.0,90.03690036900369,CES5000000001
2020-10,FAS,Financial activities,8691.0,94.53932339823778,CES5500000001
2020-10,PBS,Professional and business services,20455.0,89.84100491918483,CES6000000001
2020-10,HCS,Health care and social assistance,23278.0,91.12903225806451,CES6500000001
