source_system,source_occ_code,source_occ_title,census_occ_code_range,soc_major_group_code,soc_major_group_title,occ22_id,occ22_label,is_military_excluded,notes
SOC_2018_DETAIL,43-4151,,,43-0000,Office and Administrative Support Occupations,17,Office and Administrative Support Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,43-4161,,,43-0000,Office and Administrative Support Occupations,17,Office and Administrative Support Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,43-4171,,,43-0000,Office and Administrative Support Occupations,17,Office and Administrative Support Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,43-4181,,,43-0000,Office and Administrative Support Occupations,17,Office and Administrative Support Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,43-4199,,,43-0000,Office and Administrative Support Occupations,17,Office and Administrative Support Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,43-5011,,,43-0000,Office and Administrative Support Occupations,17,Office and Administrative Support Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,43-5021,,,43-0000,Office and Administrative Support Occupations,17,Office and Administrative Support Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,43-5031,,,43-0000,Office and Administrative Support Occupations,17,Office and Administrative Support Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,43-5032,,,43-0000,Office and Administrative Support Occupations,17,Office and Administrative Support Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,43-5041,,,43-0000,Office and Administrative Support Occupations,17,Office and Administrative Support Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,43-5051,,,43-0000,Office and Administrative Support Occupations,17,Office and Administrative Support Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,43-5052,,,43-0000,Office and Administrative Support Occupations,17,Office and Administrative Support Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,43-5053,,,43-0000,Office and Administrative Support Occupations,17,Office and Administrative Support Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,43-5061,,,43-0000,Office and Administrative Support Occupations,17,Office and Administrative Support Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,43-5071,,,43-0000,Office and Administrative Support Occupations,17,Office and Administrative Support Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,43-5111,,,43-0000,Office and Administrative Support Occupations,17,Office and Administrative Support Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,43-6011,,,43-0000,Office and Administrative Support Occupations,17,Office and Administrative Support Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,43-6012,,,43-0000,Office and Administrative Support Occupations,17,Office and Administrative Support Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,43-6013,,,43-0000,Office and Administrative Support Occupations,17,Office and Administrative Support Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,43-6014,,,43-0000,Office and Administrative Support Occupations,17,Office and Administrative Support Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,43-9021,,,43-0000,Office and Administrative Support Occupations,17,Office and Administrative Support Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,43-9022,,,43-0000,Office and Administrative Support Occupations,17,Office and Administrative Support Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,43-9031,,,43-0000,Office and Administrative Support Occupations,17,Office and Administrative Support Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,43-9041,,,43-0000,Office and Administrative Support Occupations,17,Office and Administrative Support Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,43-9051,,,43-0000,Office and Administrative Support Occupations,17,Office and Administrative Support Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,43-9061,,,43-0000,Office and Administrative Support Occupations,17,Office and Administrative Support Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,43-9071,,,43-0000,Office and Administrative Support Occupations,17,Office and Administrative Support Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,43-9081,,,43-0000,Office and Administrative Support Occupations,17,Office and Administrative Support Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,43-9111,,,43-0000,Office and Administrative Support Occupations,17,Office and Administrative Support Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,43-9199,,,43-0000,Office and Administrative Support Occupations,17,Office and Administrative Support Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,45-1011,,,45-0000,"Farming, Fishing, and Forestry Occupations",18,"Farming, Fishing, and Forestry Occupations",false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,45-2011,,,45-0000,"Farming, Fishing, and Forestry Occupations",18,"Farming, Fishing, and Forestry Occupations",false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,45-2021,,,45-0000,"Farming, Fishing, and Forestry Occupations",18,"Farming, Fishing, and Forestry Occupations",false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,45-2041,,,45-0000,"Farming, Fishing, and Forestry Occupations",18,"Farming, Fishing, and Forestry Occupations",false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,45-2090,,,45-0000,"Farming, Fishing, and Forestry Occupations",18,"Farming, Fishing, and Forestry Occupations",false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,45-3031,,,45-0000,"Farming, Fishing, and Forestry Occupations",18,"Farming, Fishing, and Forestry Occupations",false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,45-4011,,,45-0000,"Farming, Fishing, and Forestry Occupations",18,"Farming, Fishing, and Forestry Occupations",false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,45-4020,,,45-0000,"Farming, Fishing, and Forestry Occupations",18,"Farming, Fishing, and Forestry Occupations",false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,47-1011,,,47-0000,Construction and Extraction Occupations,19,Construction and Extraction Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,47-2011,,,47-0000,Construction and Extraction Occupations,19,Construction and Extraction Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,47-2020,,,47-0000,Construction and Extraction Occupations,19,Construction and Extraction Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,47-2031,,,47-0000,Construction and Extraction Occupations,19,Construction and Extraction Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,47-2040,,,47-0000,Construction and Extraction Occupations,19,Construction and Extraction Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,47-2050,,,47-0000,Construction and Extraction Occupations,19,Construction and Extraction Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,47-2061,,,47-0000,Construction and Extraction Occupations,19,Construction and Extraction Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,47-2070,,,47-0000,Construction and Extraction Occupations,19,Construction and Extraction Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,47-2080,,,47-0000,Construction and Extraction Occupations,19,Construction and Extraction Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,47-2111,,,47-0000,Construction and Extraction Occupations,19,Construction and Extraction Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,47-2121,,,47-0000,Construction and Extraction Occupations,19,Construction and Extraction Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,47-2130,,,47-0000,Construction and Extraction Occupations,19,Construction and Extraction Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,47-2140,,,47-0000,Construction and Extraction Occupations,19,Construction and Extraction Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,47-2151,,,47-0000,Construction and Extraction Occupations,19,Construction and Extraction Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,47-2152,,,47-0000,Construction and Extraction Occupations,19,Construction and Extraction Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,47-2161,,,47-0000,Construction and Extraction Occupations,19,Construction and Extraction Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,47-2171,,,47-0000,Construction and Extraction Occupations,19,Construction and Extraction Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,47-2181,,,47-0000,Construction and Extraction Occupations,19,Construction and Extraction Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,47-2211,,,47-0000,Construction and Extraction Occupations,19,Construction and Extraction Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,47-2221,,,47-0000,Construction and Extraction Occupations,19,Construction and Extraction Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,47-2231,,,47-0000,Construction and Extraction Occupations,19,Construction and Extraction Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,47-3010,,,47-0000,Construction and Extraction Occupations,19,Construction and Extraction Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,47-4011,,,47-0000,Construction and Extraction Occupations,19,Construction and Extraction Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,47-4021,,,47-0000,Construction and Extraction Occupations,19,Construction and Extraction Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,47-4031,,,47-0000,Construction and Extraction Occupations,19,Construction and Extraction Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,47-4041,,,47-0000,Construction and Extraction Occupations,19,Construction and Extraction Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,47-4051,,,47-0000,Construction and Extraction Occupations,19,Construction and Extraction Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,47-4061,,,47-0000,Construction and Extraction Occupations,19,Construction and Extraction Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,47-4071,,,47-0000,Construction and Extraction Occupations,19,Construction and Extraction Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,47-4090,,,47-0000,Construction and Extraction Occupations,19,Construction and Extraction Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,47-5010,,,47-0000,Construction and Extraction Occupations,19,Construction and Extraction Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,47-5022,,,47-0000,Construction and Extraction Occupations,19,Construction and Extraction Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,47-5023,,,47-0000,Construction and Extraction Occupations,19,Construction and Extraction Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,47-5032,,,47-0000,Construction and Extraction Occupations,19,Construction and Extraction Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,47-5040,,,47-0000,Construction and Extraction Occupations,19,Construction and Extraction Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,47-5071,,,47-0000,Construction and Extraction Occupations,19,Construction and Extraction Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,47-50XX,,,47-0000,Construction and Extraction Occupations,19,Construction and Extraction Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,49-1011,,,49-0000,"Installation, Maintenance, and Repair Occupations",20,"Installation, Maintenance, and Repair Occupations",false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,49-2011,,,49-0000,"Installation, Maintenance, and Repair Occupations",20,"Installation, Maintenance, and Repair Occupations",false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,49-2020,,,49-0000,"Installation, Maintenance, and Repair Occupations",20,"Installation, Maintenance, and Repair Occupations",false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,49-2091,,,49-0000,"Installation, Maintenance, and Repair Occupations",20,"Installation, Maintenance, and Repair Occupations",false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,49-2092,,,49-0000,"Installation, Maintenance, and Repair Occupations",20,"Installation, Maintenance, and Repair Occupations",false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,49-2093,,,49-0000,"Installation, Maintenance, and Repair Occupations",20,"Installation, Maintenance, and Repair Occupations",false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,49-2096,,,49-0000,"Installation, Maintenance, and Repair Occupations",20,"Installation, Maintenance, and Repair Occupations",false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,49-2097,,,49-0000,"Installation, Maintenance, and Repair Occupations",20,"Installation, Maintenance, and Repair Occupations",false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,49-2098,,,49-0000,"Installation, Maintenance, and Repair Occupations",20,"Installation, Maintenance, and Repair Occupations",false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,49-209X,,,49-0000,"Installation, Maintenance, and Repair Occupations",20,"Installation, Maintenance, and Repair Occupations",false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,49-3011,,,49-0000,"Installation, Maintenance, and Repair Occupations",20,"Installation, Maintenance, and Repair Occupations",false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,49-3021,,,49-0000,"Installation, Maintenance, and Repair Occupations",20,"Installation, Maintenance, and Repair Occupations",false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,49-3022,,,49-0000,"Installation, Maintenance, and Repair Occupations",20,"Installation, Maintenance, and Repair Occupations",false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,49-3023,,,49-0000,"Installation, Maintenance, and Repair Occupations",20,"Installation, Maintenance, and Repair Occupations",false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,49-3031,,,49-0000,"Installation, Maintenance, and Repair Occupations",20,"Installation, Maintenance, and Repair Occupations",false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,49-3040,,,49-0000,"Installation, Maintenance, and Repair Occupations",20,"Installation, Maintenance, and Repair Occupations",false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,49-3050,,,49-0000,"Installation, Maintenance, and Repair Occupations",20,"Installation, Maintenance, and Repair Occupations",false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,49-3090,,,49-0000,"Installation, Maintenance, and Repair Occupations",20,"Installation, Maintenance, and Repair Occupations",false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,49-9010,,,49-0000,"Installation, Maintenance, and Repair Occupations",20,"Installation, Maintenance, and Repair Occupations",false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,49-9021,,,49-0000,"Installation, Maintenance, and Repair Occupations",20,"Installation, Maintenance, and Repair Occupations",false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,49-9031,,,49-0000,"Installation, Maintenance, and Repair Occupations",20,"Installation, Maintenance, and Repair Occupations",false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,49-9043,,,49-0000,"Installation, Maintenance, and Repair Occupations",20,"Installation, Maintenance, and Repair Occupations",false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,49-9044,,,49-0000,"Installation, Maintenance, and Repair Occupations",20,"Installation, Maintenance, and Repair Occupations",false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,49-904X,,,49-0000,"Installation, Maintenance, and Repair Occupations",20,"Installation, Maintenance, and Repair Occupations",false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,49-9051,,,49-0000,"Installation, Maintenance, and Repair Occupations",20,"Installation, Maintenance, and Repair Occupations",false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,49-9052,,,49-0000,"Installation, Maintenance, and Repair Occupations",20,"Installation, Maintenance, and Repair Occupations",false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,49-9060,,,49-0000,"Installation, Maintenance, and Repair Occupations",20,"Installation, Maintenance, and Repair Occupations",false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,49-9071,,,49-0000,"Installation, Maintenance, and Repair Occupations",20,"Installation, Maintenance, and Repair Occupations",false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,49-9081,,,49-0000,"Installation, Maintenance, and Repair Occupations",20,"Installation, Maintenance, and Repair Occupations",false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,49-9091,,,49-0000,"Installation, Maintenance, and Repair Occupations",20,"Installation, Maintenance, and Repair Occupations",false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,49-9092,,,49-0000,"Installation, Maintenance, and Repair Occupations",20,"Installation, Maintenance, and Repair Occupations",false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,49-9094,,,49-0000,"Installation, Maintenance, and Repair Occupations",20,"Installation, Maintenance, and Repair Occupations",false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,49-9095,,,49-0000,"Installation, Maintenance, and Repair Occupations",20,"Installation, Maintenance, and Repair Occupations",false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,49-9096,,,49-0000,"Installation, Maintenance, and Repair Occupations",20,"Installation, Maintenance, and Repair Occupations",false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,49-9098,,,49-0000,"Installation, Maintenance, and Repair Occupations",20,"Installation, Maintenance, and Repair Occupations",false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,49-909X,,,49-0000,"Installation, Maintenance, and Repair Occupations",20,"Installation, Maintenance, and Repair Occupations",false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,51-1011,,,51-0000,Production Occupations,21,Production Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,51-2011,,,51-0000,Production Occupations,21,Production Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,51-2020,,,51-0000,Production Occupations,21,Production Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,51-2031,,,51-0000,Production Occupations,21,Production Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,51-2041,,,51-0000,Production Occupations,21,Production Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
SOC_2018_DETAIL,51-20XX,,,51-0000,Production Occupations,21,Production Occupations,false,SOC 2018 detail; major group from prefix; OEWS/O*NET alignment
