month,occ22_code,occ22_label,exposure_pct,adoption_mix_occ_month,awes_raw,awes_pct,sector6_coverage_share,coverage_flag_low
2023-09,occ22_01,Management Occupations,0.7619047619047619,0.055225518128520695,0.04207658524077767,0.5054945054945055,0.6810080944083203,0
2023-09,occ22_02,Business and Financial Operations Occupations,0.9047619047619048,0.05897617650850509,0.05335939779340937,0.6138147566718996,0.7097463828669083,0
2023-09,occ22_03,Computer and Mathematical Occupations,1.0,0.07267285286443903,0.07267285286443903,0.7645211930926217,0.8641926333607427,0
2023-09,occ22_04,Architecture and Engineering Occupations,0.8571428571428571,0.04924180101209436,0.042207258010366594,0.5070643642072213,0.7506096088375753,0
2023-09,occ22_05,"Life, Physical, and Social Science Occupations",0.9523809523809524,0.05520928398875224,0.05258027046547833,0.5949764521193093,0.6380444849942631,0
2023-09,occ22_06,Community and Social Service Occupations,0.6190476190476191,0.045796826854952094,0.028350416624494154,0.3704866562009419,0.7328886536635482,0
2023-09,occ22_07,Legal Occupations,0.7142857142857143,0.06733610047828748,0.0480972146273482,0.5572998430141287,0.7400208887946538,0
2023-09,occ22_08,Educational Instruction and Library Occupations,0.4761904761904761,0.06621638377832316,0.03153161132301102,0.3987441130298273,0.9590229433518596,0
2023-09,occ22_09,"Arts, Design, Entertainment, Sports, and Media Occupations",0.3809523809523809,0.07860866788093988,0.029946159192739,0.38461538461538464,0.7108046809483876,0
2023-09,occ22_10,Healthcare Practitioners and Technical Occupations,0.8095238095238095,0.03932481346193685,0.03183437280252031,0.40188383045525905,0.9366029655822332,0
2023-09,occ22_11,Healthcare Support Occupations,0.5238095238095238,0.03837196807898759,0.020099602327088736,0.3092621664050236,0.9687580558539204,0
2023-09,occ22_12,Protective Service Occupations,0.6666666666666666,0.0625677697494315,0.041711846499620994,0.49921507064364207,0.3690887899051142,1
2023-09,occ22_13,Food Preparation and Serving Related Occupations,0.0,0.04206039347965715,0.0,0.02197802197802198,0.1285775149667609,1
2023-09,occ22_14,Building and Grounds Cleaning and Maintenance Occupations,0.0476190476190476,0.060754512598858376,0.0028930720285170646,0.04552590266875981,0.722387548485819,0
2023-09,occ22_15,Personal Care and Service Occupations,0.0952380952380952,0.05220574450562536,0.004971975667202413,0.0706436420722135,0.3321128382997038,1
2023-09,occ22_16,Sales and Related Occupations,0.238095238095238,0.03534165048303728,0.008414678686437443,0.14599686028257458,0.8138577421401217,0
2023-09,occ22_17,Office and Administrative Support Occupations,0.5714285714285714,0.05123298936385673,0.029275993922203845,0.37676609105180536,0.6655390310494093,0
