month,occ22_code,occ22_label,awes_pct,demand_stress_occ_month,exit_risk_12m_pct,alpi_raw,alpi_pct,sector6_coverage_share,coverage_flag_low
2023-09,occ22_01,Management Occupations,0.5054945054945055,0.44610706656539656,0.2252054794520548,0.39226901717065227,0.07588532883642496,0.6810080944083203,0
2023-09,occ22_02,Business and Financial Operations Occupations,0.6138147566718996,0.4651575335415303,0.1572602739726027,0.4120775213953442,0.11129848229342328,0.7097463828669083,0
2023-09,occ22_03,Computer and Mathematical Occupations,0.7645211930926217,0.5307834562003986,0.0591780821917808,0.45149424382826703,0.20741989881956155,0.8641926333607427,0
2023-09,occ22_04,Architecture and Engineering Occupations,0.5070643642072213,0.5394531292766848,0.0202739726027397,0.35559715536221526,0.04047217537942664,0.7506096088375753,0
2023-09,occ22_05,"Life, Physical, and Social Science Occupations",0.5949764521193093,0.44707215821470564,0.1161643835616438,0.38607099796521954,0.06408094435075885,0.6380444849942631,0
2023-09,occ22_06,Community and Social Service Occupations,0.3704866562009419,0.21913628923338352,0.3134246575342466,0.30101586765619065,0.016863406408094434,0.7328886536635482,0
2023-09,occ22_07,Legal Occupations,0.5572998430141287,0.4886941044170291,0.1189041095890411,0.38829935234006624,0.06913996627318718,0.7400208887946538,0
2023-09,occ22_08,Educational Instruction and Library Occupations,0.3987441130298273,0.46753711048085556,0.5331506849315069,0.46647730281406324,0.27318718381112983,0.9590229433518596,0
2023-09,occ22_09,"Arts, Design, Entertainment, Sports, and Media Occupations",0.3846153846153846,0.5667725385866624,0.7227397260273972,0.5580425497431482,0.718381112984823,0.7108046809483876,0
2023-09,occ22_10,Healthcare Practitioners and Technical Occupations,0.401883830455259,0.16793069432216645,0.1397260273972602,0.23651351739156187,0.0,0.9366029655822332,0
2023-09,occ22_11,Healthcare Support Occupations,0.3092621664050236,0.1291716489890062,0.726027397260274,0.38815373755143456,0.06745362563237774,0.9687580558539204,0
2023-09,occ22_12,Protective Service Occupations,0.499215070643642,0.4608154163840342,0.5068493150684932,0.4889599340320565,0.3794266441821248,0.3690887899051142,1
2023-09,occ22_13,Food Preparation and Serving Related Occupations,0.0219780219780219,0.35831353670731436,0.8980821917808219,0.42612458348871946,0.13827993254637436,0.1285775149667609,1
2023-09,occ22_14,Building and Grounds Cleaning and Maintenance Occupations,0.0455259026687598,0.4388697049991793,0.8761643835616438,0.4535199970765276,0.2175379426644182,0.722387548485819,0
2023-09,occ22_15,Personal Care and Service Occupations,0.0706436420722135,0.29930038645637236,0.8005479452054794,0.3901639912446884,0.07082630691399663,0.3321128382997038,1
2023-09,occ22_16,Sales and Related Occupations,0.1459968602825745,0.41994358460472186,0.5906849315068493,0.3855417921313819,0.06239460370994941,0.8138577421401217,0
2023-09,occ22_17,Office and Administrative Support Occupations,0.3767660910518053,0.395311519700738,0.5243835616438356,0.43215372413212627,0.15851602023608768,0.6655390310494093,0
2023-09,occ22_18,"Farming, Fishing, and Forestry Occupations",0.1004709576138147,0.4969226472984294,0.9545205479452056,0.51730471761915,0.551433389544688,0.1632273572497619,1
2023-09,occ22_19,Construction and Extraction Occupations,0.2574568288854003,0.5070518163457852,0.6564383561643835,0.47364900046518965,0.31197301854974707,0.1118327876222348,1
2023-09,occ22_20,"Installation, Maintenance, and Repair Occupations",0.2967032967032967,0.47767316555930706,0.2586301369863014,0.3443355330829683,0.03541315345699832,0.4678636830586449,1
2023-09,occ22_21,Production Occupations,0.1334379905808477,0.5705671999230256,0.473972602739726,0.3926592644145331,0.07925801011804384,0.8395652507082461,0
2023-09,occ22_22,Transportation and Material Moving Occupations,0.075353218210361,0.4505326835275689,0.6712328767123288,0.3990395928167529,0.08768971332209106,0.4341219397622235,1
2023-10,occ22_01,Management Occupations,0.5117739403453689,0.510455252483604,0.2202739726027397,0.4141677218105709,0.11804384485666104,0.6810080944083203,0
2023-10,occ22_02,Business and Financial Operations Occupations,0.6216640502354788,0.5439718437581043,0.1402739726027397,0.43530328886544095,0.16694772344013492,0.7097463828669083,0
2023-10,occ22_03,Computer and Mathematical Occupations,0.7613814756671899,0.5873454019549406,0.0487671232876712,0.4658313336366006,0.2715008431703204,0.8641926333607427,0
2023-10,occ22_04,Architecture and Engineering Occupations,0.5086342229199372,0.5851157204797341,0.0065753424657534,0.3667750952884749,0.048903878583473864,0.7506096088375753,0
2023-10,occ22_05,"Life, Physical, and Social Science Occupations",0.598116169544741,0.47985433077154566,0.084931506849315,0.3876340023885339,0.0657672849915683,0.6380444849942631,0
